date,home_team,away_team,home_score,away_score,key,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,date_2
28.09. 08:05,New Zealand,Australia,33,13,https://www.flashscore.com/match/A5veTY77/#/match-summary,5,1,4,1,5,1,0,2,0,2,0,0,0,0,2024-09-28
21.09. 22:00,Argentina,South Africa,29,28,https://www.flashscore.com/match/WEuiUEh1/#/match-summary,4,3,3,2,4,3,1,3,3,4,0,0,0,1,2024-09-21
21.09. 06:45,Australia,New Zealand,28,31,https://www.flashscore.com/match/EwonVfwe/#/match-summary,4,4,4,4,4,4,0,1,0,1,0,0,0,0,2024-09-21
07.09. 20:00,Argentina,Australia,67,27,https://www.flashscore.com/match/zmnrWzOl/#/match-summary,9,3,8,3,9,3,2,2,2,2,0,0,0,0,2024-09-07
07.09. 16:00,South Africa,New Zealand,18,12,https://www.flashscore.com/match/tQnvXG8r/#/match-summary,2,0,1,0,2,0,2,4,3,7,0,0,1,0,2024-09-07
31.08. 23:00,Argentina,Australia,19,20,https://www.flashscore.com/match/UmKAlqvG/#/match-summary,1,2,1,2,1,2,4,2,4,3,0,0,0,0,2024-08-31
31.08. 16:00,South Africa,New Zealand,31,27,https://www.flashscore.com/match/nPU5kPO9/#/match-summary,3,4,2,2,3,4,4,1,5,1,0,0,1,0,2024-08-31
17.08. 10:45,Australia,South Africa,12,30,https://www.flashscore.com/match/8YV1j593/#/match-summary,0,4,0,2,0,4,4,2,5,2,0,0,0,0,2024-08-17
17.08. 08:05,New Zealand,Argentina,42,10,https://www.flashscore.com/match/EcHbiofc/#/match-summary,6,1,6,1,6,1,0,1,0,1,0,0,0,0,2024-08-17
10.08. 08:05,New Zealand,Argentina,30,38,https://www.flashscore.com/match/WYiEqZzi/#/match-summary,3,4,3,3,3,4,3,4,4,4,0,0,0,1,2024-08-10
10.08. 05:30,Australia,South Africa,7,33,https://www.flashscore.com/match/z7IfhRvi/#/match-summary,1,5,1,4,1,5,0,0,0,1,0,0,0,1,2024-08-10
28.10. 20:00,New Zealand,South Africa,11,12,https://www.flashscore.com/match/OMwZICPP/#/match-summary,1,0,0,0,1,0,2,4,3,4,0,0,0,0,2023-10-28
27.10. 20:00,Argentina,England,23,26,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary,2,2,2,2,2,2,3,4,4,4,0,0,0,0,2023-10-27
21.10. 20:00,England,South Africa,15,16,https://www.flashscore.com/match/8rXhf5GA/#/match-summary,0,1,0,1,0,1,4,3,4,3,1,0,1,0,2023-10-21
20.10. 20:00,Argentina,New Zealand,6,44,https://www.flashscore.com/match/zHoqMSei/#/match-summary,0,7,0,3,0,7,2,1,2,1,0,0,0,0,2023-10-20
15.10. 20:00,France,South Africa,28,29,https://www.flashscore.com/match/6mOxLYKo/#/match-summary,3,4,2,3,3,4,3,1,4,1,0,0,0,0,2023-10-15
15.10. 16:00,England,Fiji,30,24,https://www.flashscore.com/match/b70LV1Pj/#/match-summary,2,3,1,3,2,3,5,1,6,4,1,0,1,0,2023-10-15
14.10. 20:00,Ireland,New Zealand,24,28,https://www.flashscore.com/match/pvNtKhzh/#/match-summary,3,3,2,2,2,3,1,3,2,4,0,0,0,0,2023-10-14
14.10. 16:00,Wales,Argentina,17,29,https://www.flashscore.com/match/I5EoEbx5/#/match-summary,2,2,2,2,2,2,1,5,2,6,0,0,0,0,2023-10-14
08.10. 20:00,Fiji,Portugal,23,24,https://www.flashscore.com/match/44cOyXaS/#/match-summary,2,3,2,3,2,3,3,1,3,1,0,0,0,0,2023-10-08
08.10. 16:45,Tonga,Romania,45,24,https://www.flashscore.com/match/MqYLQCsk/#/match-summary,7,3,5,3,7,3,0,1,0,2,0,0,0,0,2023-10-08
08.10. 12:00,Japan,Argentina,27,39,https://www.flashscore.com/match/fclGEsij/#/match-summary,3,5,3,4,3,5,1,2,1,3,1,0,0,0,2023-10-08
07.10. 20:00,Ireland,Scotland,36,14,https://www.flashscore.com/match/xt8qK3TS/#/match-summary,6,2,3,2,6,2,0,0,0,0,0,0,0,0,2023-10-07
07.10. 16:45,England,Samoa,18,17,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary,2,2,1,2,2,2,2,1,3,2,0,0,0,0,2023-10-07
07.10. 14:00,Wales,Georgia,43,19,https://www.flashscore.com/match/fLOosLSR/#/match-summary,6,3,5,2,6,3,1,0,2,0,0,0,0,0,2023-10-07
06.10. 20:00,France,Italy,60,7,https://www.flashscore.com/match/4S9yMPbG/#/match-summary,8,1,7,1,7,1,2,0,2,0,0,0,0,0,2023-10-06
05.10. 20:00,New Zealand,Uruguay,73,0,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary,11,0,9,0,11,0,0,0,0,0,0,0,0,0,2023-10-05
01.10. 20:00,South Africa,Tonga,49,18,https://www.flashscore.com/match/SMYHRhSr/#/match-summary,7,3,7,0,7,3,0,1,0,1,0,0,0,0,2023-10-01
01.10. 16:45,Australia,Portugal,34,14,https://www.flashscore.com/match/j1gKxDpM/#/match-summary,5,2,3,2,5,2,1,0,2,0,0,0,0,0,2023-10-01
30.09. 20:00,Scotland,Romania,84,0,https://www.flashscore.com/match/ChFWURRl/#/match-summary,12,0,12,0,12,0,0,0,0,0,0,0,0,0,2023-09-30
30.09. 16:45,Fiji,Georgia,17,12,https://www.flashscore.com/match/CdZtr1DL/#/match-summary,2,0,2,0,2,0,1,4,3,4,0,0,0,0,2023-09-30
30.09. 14:00,Argentina,Chile,59,5,https://www.flashscore.com/match/fVHuosT3/#/match-summary,8,1,8,0,8,1,1,0,1,1,0,0,0,0,2023-09-30
29.09. 20:00,New Zealand,Italy,96,17,https://www.flashscore.com/match/niFWM5qA/#/match-summary,14,2,14,2,14,2,0,1,0,1,0,0,0,0,2023-09-29
28.09. 20:00,Japan,Samoa,28,22,https://www.flashscore.com/match/80GSNoU3/#/match-summary,3,3,2,2,3,3,3,1,3,2,0,0,0,0,2023-09-28
27.09. 16:45,Uruguay,Namibia,36,26,https://www.flashscore.com/match/boZeyUlL/#/match-summary,5,2,4,2,5,2,1,4,1,4,0,0,0,0,2023-09-27
24.09. 20:00,Wales,Australia,40,6,https://www.flashscore.com/match/EwHOOREc/#/match-summary,3,0,2,0,3,0,6,2,7,2,1,0,1,0,2023-09-24
24.09. 16:45,Scotland,Tonga,45,17,https://www.flashscore.com/match/jcBlqLcG/#/match-summary,7,2,5,2,7,2,0,1,0,1,0,0,0,0,2023-09-24
23.09. 20:00,South Africa,Ireland,8,13,https://www.flashscore.com/match/0zDKP7ai/#/match-summary,1,1,0,1,1,1,1,2,4,2,0,0,0,0,2023-09-23
23.09. 16:45,England,Chile,71,0,https://www.flashscore.com/match/08IynNDc/#/match-summary,11,0,8,0,11,0,0,0,0,0,0,0,0,0,2023-09-23
23.09. 13:00,Georgia,Portugal,18,18,https://www.flashscore.com/match/8x4FwgVF/#/match-summary,2,2,1,1,2,2,2,2,2,3,0,0,0,0,2023-09-23
22.09. 16:45,Argentina,Samoa,19,10,https://www.flashscore.com/match/KvzY147p/#/match-summary,1,1,1,1,1,1,4,1,5,3,0,0,0,0,2023-09-22
21.09. 20:00,France,Namibia,96,0,https://www.flashscore.com/match/prVixAZE/#/match-summary,14,0,12,0,14,0,0,0,0,0,0,0,0,0,2023-09-21
20.09. 16:45,Italy,Uruguay,38,17,https://www.flashscore.com/match/dUzvFsBh/#/match-summary,5,2,5,1,5,1,1,0,1,2,0,1,0,1,2023-09-20
17.09. 20:00,England,Japan,34,12,https://www.flashscore.com/match/ldm66paT/#/match-summary,4,0,4,0,4,0,2,4,3,4,0,0,0,0,2023-09-17
17.09. 16:45,Australia,Fiji,15,22,https://www.flashscore.com/match/A5l27QqN/#/match-summary,2,1,1,1,2,1,1,5,1,7,0,0,0,0,2023-09-17
17.09. 14:00,South Africa,Romania,76,0,https://www.flashscore.com/match/fHKRV7Cr/#/match-summary,12,0,7,0,11,0,0,0,0,1,0,0,0,0,2023-09-17
16.09. 20:00,Ireland,Tonga,59,16,https://www.flashscore.com/match/YLGqp1rA/#/match-summary,8,1,8,1,8,1,1,3,1,3,0,0,0,0,2023-09-16
16.09. 16:45,Wales,Portugal,28,8,https://www.flashscore.com/match/Uo5BvZF9/#/match-summary,4,1,4,0,4,1,0,1,0,3,0,0,0,0,2023-09-16
16.09. 14:00,Samoa,Chile,43,10,https://www.flashscore.com/match/n5EXn3bi/#/match-summary,5,1,3,1,5,1,4,1,4,1,0,0,0,0,2023-09-16
15.09. 20:00,New Zealand,Namibia,71,3,https://www.flashscore.com/match/2JumwjK8/#/match-summary,11,0,8,0,11,0,0,1,0,1,0,0,0,0,2023-09-15
14.09. 20:00,France,Uruguay,27,12,https://www.flashscore.com/match/E5oZFNen/#/match-summary,3,2,3,1,3,2,2,0,3,0,0,0,0,0,2023-09-14
10.09. 20:00,Wales,Fiji,32,26,https://www.flashscore.com/match/Stac86UG/#/match-summary,4,4,3,3,4,4,2,0,3,1,0,0,0,0,2023-09-10
10.09. 16:45,South Africa,Scotland,18,3,https://www.flashscore.com/match/Eweg9nFA/#/match-summary,2,0,1,0,2,0,2,1,5,1,0,0,0,0,2023-09-10
10.09. 12:00,Japan,Chile,42,12,https://www.flashscore.com/match/p0zkOJLj/#/match-summary,6,2,6,1,6,2,0,0,0,0,0,0,0,0,2023-09-10
09.09. 20:00,England,Argentina,27,10,https://www.flashscore.com/match/tQdoB8pb/#/match-summary,0,1,0,1,0,1,6,1,8,2,3,0,3,0,2023-09-09
09.09. 17:00,Australia,Georgia,35,15,https://www.flashscore.com/match/Y5zwqsbF/#/match-summary,4,2,3,1,4,2,3,1,3,1,0,0,0,0,2023-09-09
09.09. 14:30,Ireland,Romania,82,8,https://www.flashscore.com/match/h8Yazl4R/#/match-summary,12,1,11,0,12,1,0,1,0,1,0,0,0,0,2023-09-09
09.09. 12:00,Italy,Namibia,52,8,https://www.flashscore.com/match/OStqvW42/#/match-summary,7,1,7,0,7,1,1,1,1,2,0,0,0,0,2023-09-09
08.09. 20:15,France,New Zealand,27,13,https://www.flashscore.com/match/Ol2tClVi/#/match-summary,2,2,1,0,2,2,5,1,7,1,0,0,0,0,2023-09-08
